City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vila Franca Do Campo,PT,2022-01-25 01:30:09,37.7167,-25.4333,59.2,83,82,5.21
68,Tarauaca,BR,2022-01-25 01:30:10,-8.1614,-70.7656,73.11,98,100,1.81
69,East London,ZA,2022-01-25 01:30:10,-33.0153,27.9116,70.12,79,6,9.55
70,New Norfolk,AU,2022-01-25 01:30:10,-42.7826,147.0587,70.66,50,30,5.26
71,Lapua,FI,2022-01-25 01:30:10,62.9693,23.0088,33.51,80,7,8.08
72,Ulladulla,AU,2022-01-25 01:30:11,-35.35,150.4667,79.88,61,100,11.83
73,Sao Joao Da Barra,BR,2022-01-25 01:30:11,-21.6403,-41.0511,76.15,87,44,14.14
74,Pemba,MZ,2022-01-25 01:30:11,-12.974,40.5178,78.85,80,100,18.92
75,Dikson,RU,2022-01-25 01:30:11,73.5069,80.5464,9.23,87,100,34.61
76,Flinders,AU,2022-01-25 01:30:12,-34.5833,150.8552,80.06,69,100,4.0
77,Port Alfred,ZA,2022-01-25 01:30:12,-33.5906,26.891,69.28,87,5,14.94
78,Port-Cartier,CA,2022-01-25 01:30:12,50.0334,-66.8654,-7.49,96,100,6.24
79,Puerto Plata,DO,2022-01-25 01:30:13,19.7934,-70.6884,77.45,100,40,0.0
80,Telde,ES,2022-01-25 01:30:13,27.9924,-15.4192,62.82,82,40,12.66
81,Naze,JP,2022-01-25 01:30:13,28.3667,129.4833,59.92,73,84,15.7
82,Cape Town,ZA,2022-01-25 01:26:41,-33.9258,18.4232,69.89,88,20,5.99
83,Lebu,CL,2022-01-25 01:30:14,-37.6167,-73.65,58.42,82,0,17.38
84,Saskylakh,RU,2022-01-25 01:30:14,71.9167,114.0833,1.67,93,81,12.26
85,Xuddur,SO,2022-01-25 01:30:14,4.1213,43.8894,66.45,72,18,17.07
86,Broome,US,2022-01-25 01:30:14,42.2506,-75.833,23.16,79,100,1.01
87,Aklavik,CA,2022-01-25 01:30:15,68.2191,-135.0107,20.12,90,100,12.5
88,Helong,CN,2022-01-25 01:31:15,42.5397,128.9972,28.4,52,3,1.07
89,Culiacan,MX,2022-01-25 01:29:57,24.7994,-107.3897,65.88,42,0,4.61
90,Lerwick,GB,2022-01-25 01:31:15,60.1545,-1.1494,42.8,78,51,10.04
91,Egvekinot,RU,2022-01-25 01:31:16,66.3167,-179.1667,-24.52,84,14,7.65
92,Saint-Georges,GD,2022-01-25 01:27:18,12.0564,-61.7485,78.48,78,20,20.71
93,Nome,US,2022-01-25 01:31:16,64.5011,-165.4064,19.47,74,100,20.71
94,Klaksvik,FO,2022-01-25 01:31:16,62.2266,-6.589,41.92,74,100,18.39
95,Vila Velha,BR,2022-01-25 01:28:50,-20.3297,-40.2925,76.95,86,40,2.3
96,Luderitz,NA,2022-01-25 01:31:17,-26.6481,15.1594,74.17,65,2,14.58
97,Bredasdorp,ZA,2022-01-25 01:31:17,-34.5322,20.0403,68.29,83,91,2.3
98,Singaraja,ID,2022-01-25 01:31:17,-8.112,115.0882,86.97,73,22,7.58
99,Fukuma,JP,2022-01-25 01:31:17,33.7667,130.4667,50.04,60,100,4.56
100,Havre-Saint-Pierre,CA,2022-01-25 01:31:18,50.2334,-63.5986,10.99,78,100,4.61
101,Barcelos,PT,2022-01-25 01:31:18,41.5388,-8.6151,44.69,77,0,4.68
102,Norman Wells,CA,2022-01-25 01:31:18,65.282,-126.8329,12.24,85,75,3.44
103,Ponta Do Sol,PT,2022-01-25 01:31:18,32.6667,-17.1,61.43,62,66,8.9
104,Qaanaaq,GL,2022-01-25 01:31:19,77.484,-69.3632,-15.59,64,17,7.72
105,Ivaipora,BR,2022-01-25 01:31:19,-24.2478,-51.6847,72.54,80,100,4.16
106,Palauig,PH,2022-01-25 01:31:19,15.435,119.9045,83.5,66,48,2.86
107,Nixa,US,2022-01-25 01:31:20,37.0434,-93.2944,48.25,66,4,8.01
108,Komsomolskiy,UZ,2022-01-25 01:31:20,40.4272,71.7189,31.42,80,100,4.61
109,Arlit,NE,2022-01-25 01:31:20,18.7369,7.3853,55.33,22,3,8.25
110,Bluff,NZ,2022-01-25 01:31:21,-46.6,168.3333,59.81,73,100,14.79
111,Kassala,SD,2022-01-25 01:31:21,15.451,36.4,66.09,81,0,8.81
112,Isangel,VU,2022-01-25 01:31:21,-19.55,169.2667,89.71,74,75,4.61
113,Bambous Virieux,MU,2022-01-25 01:31:21,-20.3428,57.7575,77.25,61,40,11.5
114,Buala,SB,2022-01-25 01:31:22,-8.145,159.5921,84.2,78,100,6.91
115,Keti Bandar,PK,2022-01-25 01:31:22,24.1447,67.4497,60.17,32,0,6.69
116,Houston,US,2022-01-25 01:29:21,29.7633,-95.3633,50.13,89,100,1.01
117,Temir,KZ,2022-01-25 01:31:22,49.1414,57.13,-2.52,99,64,5.93
118,Leirvik,NO,2022-01-25 01:31:23,59.7798,5.5005,43.63,85,89,2.01
119,Tuatapere,NZ,2022-01-25 01:31:23,-46.1333,167.6833,59.83,65,100,9.44
120,Cassia,BR,2022-01-25 01:31:23,-20.5831,-46.9219,68.23,94,85,1.01
121,Alofi,NU,2022-01-25 01:31:23,-19.0595,-169.9187,78.69,89,75,5.75
122,Oshikango,NA,2022-01-25 01:31:24,-17.4,15.8833,67.89,52,72,6.11
123,Puerto Escondido,MX,2022-01-25 01:31:24,15.85,-97.0667,81.43,61,0,4.61
124,Zugdidi,GE,2022-01-25 01:31:24,42.5088,41.8709,34.83,99,100,0.89
125,Atambua,ID,2022-01-25 01:31:24,-9.1061,124.8925,81.82,70,50,6.44
126,Sakakah,SA,2022-01-25 01:31:25,29.9697,40.2064,44.17,52,93,6.04
127,Kodiak,US,2022-01-25 01:31:25,57.79,-152.4072,40.51,81,100,0.0
128,Maple Creek,CA,2022-01-25 01:31:25,49.9168,-109.4848,23.41,86,100,6.91
129,Tutoia,BR,2022-01-25 01:31:26,-2.7619,-42.2744,82.38,79,100,11.03
130,Mandalgovi,MN,2022-01-25 01:31:26,45.7625,106.2708,1.96,83,6,9.44
131,Mosquera,CO,2022-01-25 01:26:52,4.7059,-74.2302,59.09,77,75,4.61
132,Maun,BW,2022-01-25 01:30:09,-19.9833,23.4167,67.24,74,15,4.59
133,Pankrushikha,RU,2022-01-25 01:32:26,53.8319,80.3406,-2.81,99,100,4.63
134,Yellowknife,CA,2022-01-25 01:32:26,62.456,-114.3525,-10.59,83,20,9.22
135,Langham,CA,2022-01-25 01:32:27,52.3668,-106.9679,-2.97,94,100,2.3
136,Smidovich,RU,2022-01-25 01:32:27,48.6,133.8167,-9.54,98,98,1.95
137,Wodonga,AU,2022-01-25 01:28:08,-36.1167,146.8833,90.27,76,85,6.91
138,Zambezi,ZM,2022-01-25 01:32:27,-13.5432,23.1047,63.05,86,100,2.93
139,Cidreira,BR,2022-01-25 01:32:27,-30.1811,-50.2056,76.41,91,44,15.03
140,Kinna,SE,2022-01-25 01:32:28,57.5073,12.6946,43.75,78,97,10.78
141,Fortuna,US,2022-01-25 01:32:28,40.5982,-124.1573,50.18,90,0,1.99
142,Provideniya,RU,2022-01-25 01:32:28,64.3833,-173.3,3.31,72,75,13.42
143,Linxia,CN,2022-01-25 01:32:28,35.6003,103.2064,24.98,72,98,3.24
144,Isla Vista,US,2022-01-25 01:32:29,34.4133,-119.861,65.43,65,0,4.61
145,Aksarka,RU,2022-01-25 01:32:29,66.5606,67.7975,-1.14,96,38,12.37
146,Bonavista,CA,2022-01-25 01:30:52,48.6499,-53.1147,33.12,97,100,23.64
147,Boras,SE,2022-01-25 01:32:29,57.721,12.9401,42.84,79,100,9.08
148,Lompoc,US,2022-01-25 01:32:29,34.6391,-120.4579,61.57,75,0,11.5
149,Filingue,NE,2022-01-25 01:32:30,14.3521,3.3168,62.37,18,25,11.07
150,General Roca,AR,2022-01-25 01:32:30,-39.0333,-67.5833,75.6,27,0,8.59
151,Petropavlovsk-Kamchatskiy,RU,2022-01-25 01:31:17,53.0452,158.6483,10.99,57,75,6.71
152,Xinyang,CN,2022-01-25 01:32:30,32.1228,114.0656,37.29,83,41,2.98
153,Krasnogvardeyskoye,RU,2022-01-25 01:32:31,45.8456,41.5186,31.33,97,100,4.88
154,Ilulissat,GL,2022-01-25 01:32:31,69.2167,-51.1,23.02,50,100,14.97
155,Pacific Grove,US,2022-01-25 01:32:31,36.6177,-121.9166,60.3,80,0,1.01
156,Rawson,AR,2022-01-25 01:30:49,-43.3002,-65.1023,70.95,37,0,20.56
157,Sechura,PE,2022-01-25 01:32:31,-5.5569,-80.8222,72.77,77,99,13.02
158,Jalu,LY,2022-01-25 01:32:32,29.0331,21.5482,49.03,70,19,5.84
159,Along,IN,2022-01-25 01:32:32,28.1667,94.7667,52.77,93,92,1.07
160,Lethem,GY,2022-01-25 01:32:32,3.3803,-59.7968,79.52,66,96,11.14
161,Moose Factory,CA,2022-01-25 01:32:32,51.2585,-80.6094,-18.4,76,100,6.91
162,Port Lincoln,AU,2022-01-25 01:28:14,-34.7333,135.8667,76.37,65,0,3.36
163,Astana,KZ,2022-01-25 01:28:54,51.1801,71.446,-11.25,84,50,2.24
164,Kapuskasing,CA,2022-01-25 01:32:33,49.4169,-82.4331,-14.71,76,0,5.75
165,San Quintin,MX,2022-01-25 01:32:33,30.4833,-115.95,60.26,63,3,7.43
